# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = CC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# M_W_GeV      = 80.379
# pdf_set      = NNPDF31_nlo_as_0118
# PTO          = 1 (0=LO, 1=NLO)
# esquema      = ZM-VFNS, TMC desligada, CKM completa
# formula      = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# Q2min_GeV2   = 1.0
# nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# tabela_SF    = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
#
# AVISO -- EXTRAPOLACAO DO PDF. Abaixo de x = 1e-09 o LHAPDF extrapola (continuation), e a
# ultima coluna diz que fracao de sigma vem dali. Nao e um
# defeito escondido: e exatamente a hipotese que o modelo de
# dipolo substitui. Onde essa fracao e grande, a inclinacao
# alpha_eff colinear e uma PROPRIEDADE DA EXTRAPOLACAO (uma
# lei de potencia continuada), nao uma medida.
# Enu_GeV sigma_GeV_minus2 sigma_cm2 fracao_x_abaixo_do_grid
1.031283161e+12 0.000191243559 7.446622575e-32 0.0291071
1.122450568e+12 0.0001957432707 7.621831899e-32 0.0316406
1.221677349e+12 0.0002003412505 7.800867577e-32 0.0345222
1.329675967e+12 0.0002050347179 7.983621342e-32 0.0376765
1.447221871e+12 0.0002098289383 8.170298216e-32 0.0406381
1.575159057e+12 0.0002147275329 8.361039203e-32 0.0434536
1.714406136e+12 0.0002197294447 8.555803146e-32 0.0470043
1.865962923e+12 0.0002248360971 8.754645465e-32 0.0512716
2.030917621e+12 0.0002300531732 8.957787453e-32 0.0554286
2.21045463e+12 0.000235382636 9.165305543e-32 0.0600344
2.405863055e+12 0.0002408202658 9.377035426e-32 0.0642762
2.618545958e+12 0.000246374908 9.593321529e-32 0.0692199
2.850030439e+12 0.0002520491472 9.81426449e-32 0.0745059
3.10197859e+12 0.0002578402517 1.003975794e-31 0.0794676
3.376199441e+12 0.0002637528904 1.026998367e-31 0.0857583
3.674661941e+12 0.0002697923529 1.050514766e-31 0.0904242
3.999509097e+12 0.0002759602587 1.074531296e-31 0.0964341
4.353073365e+12 0.0002822508235 1.099025434e-31 0.102573
4.737893391e+12 0.000288677281 1.12404871e-31 0.110015
5.156732245e+12 0.0002952405965 1.149604882e-31 0.117834
