# alpha_scan -- alpha_eff(E) = d ln sigma / d ln E e teto 3^(alpha/2)
# estimador: diferenca centrada em ln E, passo adaptativo por
#            reducao pela metade (h inicial 0.1, piso 3e-3).
#            A rota analitica esta fechada: a interpolacao da
#            tabela e linear em log-log, portanto C^0, e a
#            derivada dela e uma funcao escada.
# faixa_comum_GeV = 1000 1e+14
# dipole.path = dipole/data/sigma_nuN_CC_GBW.dat
# dipole.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# dipole.convention_y = (E_in - E_out)/E_in
# dipole.target = isoscalar_nucleon
# dipole.projectile = nu
# dipole.current = CC
# dipole.units_sigma = cm^2
# dipole.units_E = GeV
# dipole.M_Z_GeV = 91.1876
# dipole.dipole_model = GBW
# dipole.generated_by = sigma_nuN (PHASIS/dipole) commit 1474a9b-sujo
# dipole.M_W_GeV = 80.379
# dipole.xF3_from = NNPDF31_nlo_as_0118
# colinear.path = data/sigma_nuN_CC_collinear.dat
# colinear.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# colinear.convention_y = (E_in - E_out)/E_in
# colinear.target = isoscalar_nucleon
# colinear.projectile = nu
# colinear.current = CC
# colinear.units_sigma = cm^2
# colinear.units_E = GeV
# colinear.M_Z_GeV = 91.1876
# colinear.dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# colinear.generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# colinear.M_W_GeV = 80.379
# colinear.pdf_set = NNPDF31_nlo_as_0118
# colinear.PTO = 1 (0=LO, 1=NLO)
# colinear.esquema = ZM-VFNS, TMC desligada, CKM completa
# colinear.formula = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# colinear.Q2min_GeV2 = 1.0
# colinear.nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# colinear.tabela_SF = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
# pontos_sem_convergencia_do_passo = 34 de 240
E_GeV,alpha_dipole,alpha_colinear,teto_dipole,teto_colinear
3.743016636e+12,0.2461413589,0.2668414016,1.144773683,1.157864802
4.161470899e+12,0.2459396846,0.2660739612,1.144646871,1.157376796
4.626706671e+12,0.2457342234,0.2657671945,1.144517692,1.157181784
5.143953939e+12,0.2455122469,0.2653206085,1.144378146,1.156897948
5.71902738e+12,0.2451291373,0.264318806,1.144137344,1.156261487
6.358391727e+12,0.2449293954,0.2639703224,1.144011816,1.156040171
7.069234446e+12,0.2447327169,0.2634324347,1.143888228,1.155698652
7.859546533e+12,0.2444972761,0.262872719,1.143740299,1.155343381
8.738212344e+12,0.2441328352,0.2622290025,1.143511357,1.154934927
9.715109473e+12,0.2439363744,0.2615487439,1.143387959,1.154503443
1.080121979e+13,0.2437357593,0.2612500241,1.143261966,1.154314018
1.200875288e+13,0.2434970266,0.260807689,1.143112052,1.15403358
1.335128334e+13,0.2431440925,0.259966353,1.142890459,1.153500365
1.484390332e+13,0.2429483325,0.2596700386,1.142767568,1.153312628
1.650339224e+13,0.2427557773,0.259231662,1.142646702,1.15303494
1.834840537e+13,0.242501721,0.2586640412,1.142487252,1.152675483
2.039968357e+13,0.242165165,0.2581578977,1.142276057,1.152355052
2.268028646e+13,0.2419717988,0.2575716406,1.142154734,1.151984013
2.521585161e+13,0.2417733269,0.2572859211,1.142030221,1.151803226
2.803488279e+13,0.241515746,0.2568721487,1.141868646,1.151541465
3.116907036e+13,0.2411880268,0.2561795345,1.141663107,1.151103437
3.465364755e+13,0.2409940467,0.2559362207,1.141541464,1.150949598
3.85277865e+13,0.2408001763,0.255665875,1.141419903,1.150778691
4.283503866e+13,0.2405306048,0.2550012002,1.141250897,1.150358607
4.762382435e+13,0.2402159321,0.2546632719,1.141053647,1.15014509
5.29479771e+13,0.2400237102,0.2541743508,1.140933171,1.14983624
5.88673488e+13,0.2398254889,0.2539042044,1.140808948,1.149665625
6.544848253e+13,0.2395469535,0.2535392262,1.140634417,1.149435158
7.276536065e+13,0.2392410943,0.2529748526,1.140442794,1.149078872
8.090023642e+13,0.2390471132,0.2527817198,1.140321281,1.148956974
8.994455871e+13,0.2388531481,0.252576404,1.14019979,1.148827401
1e+14,0.2386597255,0.2520713167,1.140078653,1.148508706
