# profile_file data/benchmark_02_collapsar_disk_funnel.dat
# sigma_table data/sigma_nuN_CC_GBW.dat
# Enu_GeV 1e+12
# sigma_cm2_interpolated 1.64167e-30
# r_cm rho_gcm3 tau survival
4.23522e+06 1.91925e+09 5.34325e+09 0
4.25151e+06 1.9009e+09 5.31249e+09 0
4.26786e+06 1.88274e+09 5.28191e+09 0
4.28427e+06 1.86474e+09 5.25151e+09 0
4.30075e+06 1.84692e+09 5.22128e+09 0
4.3173e+06 1.82927e+09 5.1912e+09 0
4.3339e+06 1.81179e+09 5.16132e+09 0
4.35057e+06 1.79447e+09 5.13161e+09 0
4.3673e+06 1.77733e+09 5.10207e+09 0
4.3841e+06 1.76034e+09 5.07269e+09 0
4.40096e+06 1.74352e+09 5.04349e+09 0
4.41789e+06 1.72685e+09 5.01444e+09 0
4.43488e+06 1.71035e+09 4.98558e+09 0
4.45194e+06 1.694e+09 4.95687e+09 0
4.46907e+06 1.67781e+09 4.92832e+09 0
4.48626e+06 1.66178e+09 4.89994e+09 0
4.50351e+06 1.6459e+09 4.87173e+09 0
4.52083e+06 1.63017e+09 4.84369e+09 0
4.53822e+06 1.61459e+09 4.81579e+09 0
4.55568e+06 1.59916e+09 4.78806e+09 0
4.5732e+06 1.58387e+09 4.76049e+09 0
4.59079e+06 1.56874e+09 4.73308e+09 0
4.60845e+06 1.55374e+09 4.70582e+09 0
4.62617e+06 1.53889e+09 4.67873e+09 0
4.64397e+06 1.52419e+09 4.65178e+09 0
4.66183e+06 1.50962e+09 4.625e+09 0
4.67976e+06 1.49519e+09 4.59836e+09 0
4.69776e+06 1.4809e+09 4.57188e+09 0
4.71583e+06 1.46675e+09 4.54555e+09 0
4.73397e+06 1.45273e+09 4.51937e+09 0
4.75217e+06 1.43884e+09 4.49336e+09 0
4.77045e+06 1.42509e+09 4.46748e+09 0
4.7888e+06 1.41147e+09 4.44175e+09 0
4.80722e+06 1.39798e+09 4.41617e+09 0
4.82571e+06 1.38462e+09 4.39074e+09 0
4.84427e+06 1.37139e+09 4.36545e+09 0
4.8629e+06 1.35828e+09 4.34032e+09 0
4.88161e+06 1.3453e+09 4.31531e+09 0
4.90038e+06 1.33244e+09 4.29047e+09 0
4.91923e+06 1.31971e+09 4.26575e+09 0
4.93815e+06 1.30709e+09 4.24119e+09 0
4.95715e+06 1.2946e+09 4.21675e+09 0
4.97621e+06 1.28223e+09 4.19247e+09 0
4.99535e+06 1.26997e+09 4.16833e+09 0
5.01457e+06 1.25783e+09 4.14431e+09 0
5.03385e+06 1.24581e+09 4.12045e+09 0
5.05322e+06 1.2339e+09 4.09671e+09 0
5.07265e+06 1.22211e+09 4.07312e+09 0
5.09216e+06 1.21043e+09 4.04966e+09 0
5.11175e+06 1.19886e+09 4.02633e+09 0
5.13141e+06 1.1874e+09 4.00314e+09 0
5.15115e+06 1.17605e+09 3.98007e+09 0
5.17096e+06 1.16481e+09 3.95715e+09 0
5.19085e+06 1.15368e+09 3.93436e+09 0
5.21081e+06 1.14265e+09 3.9117e+09 0
5.23086e+06 1.13173e+09 3.88916e+09 0
5.25098e+06 1.12091e+09 3.86675e+09 0
5.27117e+06 1.1102e+09 3.84449e+09 0
5.29145e+06 1.09959e+09 3.82233e+09 0
5.3118e+06 1.08908e+09 3.80032e+09 0
