# profile_file data/collapsar_profile.dat
# sigma_table data/sigma_nuN_CC_IIM.dat
# Enu_GeV 1e+12
# sigma_cm2_interpolated 4.00898e-31
# r_cm rho_gcm3 tau survival
2.51266e+06 6.31952e+10 1.91521e+10 0
2.52232e+06 6.24713e+10 1.90055e+10 0
2.53202e+06 6.17558e+10 1.88601e+10 0
2.54176e+06 6.10484e+10 1.87157e+10 0
2.55154e+06 6.03492e+10 1.85724e+10 0
2.56135e+06 5.9658e+10 1.84302e+10 0
2.57121e+06 5.89746e+10 1.8289e+10 0
2.58109e+06 5.82991e+10 1.81492e+10 0
2.59102e+06 5.76314e+10 1.80102e+10 0
2.60099e+06 5.69713e+10 1.78723e+10 0
2.61099e+06 5.63187e+10 1.77355e+10 0
2.62104e+06 5.56737e+10 1.75997e+10 0
2.63112e+06 5.5036e+10 1.7465e+10 0
2.64124e+06 5.44056e+10 1.73313e+10 0
2.6514e+06 5.37824e+10 1.71986e+10 0
2.66159e+06 5.31664e+10 1.7067e+10 0
2.67183e+06 5.25574e+10 1.69363e+10 0
2.68211e+06 5.19554e+10 1.68066e+10 0
2.69242e+06 5.13603e+10 1.66781e+10 0
2.70278e+06 5.0772e+10 1.65503e+10 0
2.71318e+06 5.01905e+10 1.64236e+10 0
2.72361e+06 4.96156e+10 1.62979e+10 0
2.73409e+06 4.90473e+10 1.61731e+10 0
2.7446e+06 4.84855e+10 1.60494e+10 0
2.75516e+06 4.79301e+10 1.59265e+10 0
2.76576e+06 4.73811e+10 1.58045e+10 0
2.77639e+06 4.68384e+10 1.56836e+10 0
2.78707e+06 4.63019e+10 1.55635e+10 0
2.79779e+06 4.57716e+10 1.54444e+10 0
2.80855e+06 4.52473e+10 1.53262e+10 0
2.81936e+06 4.4729e+10 1.52088e+10 0
2.8302e+06 4.42167e+10 1.50924e+10 0
2.84109e+06 4.37102e+10 1.49768e+10 0
2.85201e+06 4.32095e+10 1.48622e+10 0
2.86298e+06 4.27146e+10 1.47484e+10 0
2.874e+06 4.22253e+10 1.46354e+10 0
2.88505e+06 4.17417e+10 1.45234e+10 0
2.89615e+06 4.12635e+10 1.44122e+10 0
2.90729e+06 4.07909e+10 1.43019e+10 0
2.91847e+06 4.03237e+10 1.41924e+10 0
2.92969e+06 3.98618e+10 1.40838e+10 0
2.94096e+06 3.94052e+10 1.3976e+10 0
2.95227e+06 3.89538e+10 1.3869e+10 0
2.96363e+06 3.85076e+10 1.37627e+10 0
2.97503e+06 3.80665e+10 1.36574e+10 0
2.98647e+06 3.76305e+10 1.35528e+10 0
2.99796e+06 3.71995e+10 1.3449e+10 0
3.00949e+06 3.67734e+10 1.33461e+10 0
3.02106e+06 3.63522e+10 1.3244e+10 0
3.03268e+06 3.59358e+10 1.31426e+10 0
3.04435e+06 3.55241e+10 1.30419e+10 0
3.05606e+06 3.51172e+10 1.2942e+10 0
3.06781e+06 3.4715e+10 1.2843e+10 0
3.07961e+06 3.43173e+10 1.27447e+10 0
3.09146e+06 3.39242e+10 1.2647e+10 0
3.10335e+06 3.35356e+10 1.25502e+10 0
3.11529e+06 3.31515e+10 1.24541e+10 0
3.12727e+06 3.27718e+10 1.23588e+10 0
3.1393e+06 3.23964e+10 1.22641e+10 0
3.15137e+06 3.20253e+10 1.21703e+10 0
3.16349e+06 3.16584e+10 1.20771e+10 0
3.17566e+06 3.12958e+10 1.19846e+10 0
3.18787e+06 3.09373e+10 1.18929e+10 0
3.20014e+06 3.05829e+10 1.18018e+10 0
3.21244e+06 3.02326e+10 1.17115e+10 0
3.2248e+06 2.98863e+10 1.16218e+10 0
3.2372e+06 2.9544e+10 1.15328e+10 0
3.24966e+06 2.92055e+10 1.14444e+10 0
3.26215e+06 2.8871e+10 1.13569e+10 0
3.2747e+06 2.85403e+10 1.12699e+10 0
3.2873e+06 2.82134e+10 1.11836e+10 0
3.29994e+06 2.78902e+10 1.1098e+10 0
3.31263e+06 2.75707e+10 1.1013e+10 0
3.32537e+06 2.72549e+10 1.09287e+10 0
3.33817e+06 2.69427e+10 1.0845e+10 0
3.351e+06 2.66341e+10 1.0762e+10 0
3.36389e+06 2.6329e+10 1.06796e+10 0
3.37683e+06 2.60274e+10 1.05978e+10 0
3.38982e+06 2.57292e+10 1.05166e+10 0
3.40286e+06 2.54345e+10 1.04361e+10 0
3.41595e+06 2.51431e+10 1.03562e+10 0
3.42909e+06 2.48551e+10 1.02769e+10 0
3.44228e+06 2.45704e+10 1.01982e+10 0
3.45552e+06 2.4289e+10 1.01201e+10 0
3.46881e+06 2.40107e+10 1.00426e+10 0
3.48215e+06 2.37357e+10 9.96572e+09 0
3.49554e+06 2.34638e+10 9.88943e+09 0
3.50899e+06 2.3195e+10 9.81368e+09 0
3.52248e+06 2.29293e+10 9.73857e+09 0
3.53603e+06 2.26666e+10 9.66399e+09 0
3.54963e+06 2.2407e+10 9.58999e+09 0
3.56329e+06 2.21503e+10 9.51652e+09 0
3.57699e+06 2.18966e+10 9.44368e+09 0
3.59075e+06 2.16458e+10 9.37135e+09 0
3.60456e+06 2.13978e+10 9.2996e+09 0
3.61842e+06 2.11527e+10 9.22841e+09 0
3.63234e+06 2.09104e+10 9.15773e+09 0
3.64631e+06 2.06708e+10 9.0876e+09 0
3.66034e+06 2.0434e+10 9.01799e+09 0
3.67442e+06 2.02e+10 8.94893e+09 0
3.68855e+06 1.99686e+10 8.88041e+09 0
3.70274e+06 1.97398e+10 8.81239e+09 0
3.71698e+06 1.95137e+10 8.74492e+09 0
3.73128e+06 1.92902e+10 8.67794e+09 0
3.74563e+06 1.90692e+10 8.61149e+09 0
3.76003e+06 1.88507e+10 8.54557e+09 0
3.7745e+06 1.86348e+10 8.4801e+09 0
3.78901e+06 1.84213e+10 8.41519e+09 0
3.80359e+06 1.82103e+10 8.35072e+09 0
3.81822e+06 1.80017e+10 8.28677e+09 0
3.8329e+06 1.77955e+10 8.22333e+09 0
3.84765e+06 1.75916e+10 8.16033e+09 0
3.86244e+06 1.73901e+10 8.09787e+09 0
3.8773e+06 1.71909e+10 8.03584e+09 0
3.89221e+06 1.69939e+10 7.97431e+09 0
3.90718e+06 1.67993e+10 7.91325e+09 0
3.92221e+06 1.66068e+10 7.85264e+09 0
3.9373e+06 1.64166e+10 7.79248e+09 0
3.95244e+06 1.62285e+10 7.73282e+09 0
3.96765e+06 1.60426e+10 7.67357e+09 0
3.98291e+06 1.58588e+10 7.6148e+09 0
3.99823e+06 1.56771e+10 7.55648e+09 0
4.0136e+06 1.54976e+10 7.49864e+09 0
4.02904e+06 1.532e+10 7.44121e+09 0
4.04454e+06 1.51445e+10 7.3842e+09 0
4.06009e+06 1.4971e+10 7.32768e+09 0
4.07571e+06 1.47995e+10 7.27154e+09 0
4.09139e+06 1.463e+10 7.21584e+09 0
4.10712e+06 1.44624e+10 7.1606e+09 0
4.12292e+06 1.42967e+10 7.10575e+09 0
4.13878e+06 1.41329e+10 7.05132e+09 0
4.1547e+06 1.3971e+10 6.99731e+09 0
4.17068e+06 1.3811e+10 6.94372e+09 0
4.18672e+06 1.36527e+10 6.89054e+09 0
4.20282e+06 1.34963e+10 6.83778e+09 0
4.21899e+06 1.33417e+10 6.78539e+09 0
4.23522e+06 1.31889e+10 6.73341e+09 0
4.25151e+06 1.30378e+10 6.68184e+09 0
4.26786e+06 1.28884e+10 6.63067e+09 0
4.28427e+06 1.27408e+10 6.5799e+09 0
4.30075e+06 1.25948e+10 6.5295e+09 0
4.3173e+06 1.24505e+10 6.47946e+09 0
4.3339e+06 1.23079e+10 6.42985e+09 0
4.35057e+06 1.21669e+10 6.3806e+09 0
4.3673e+06 1.20275e+10 6.33174e+09 0
4.3841e+06 1.18897e+10 6.28324e+09 0
4.40096e+06 1.17535e+10 6.23512e+09 0
4.41789e+06 1.16188e+10 6.18735e+09 0
4.43488e+06 1.14857e+10 6.13997e+09 0
4.45194e+06 1.13541e+10 6.09293e+09 0
4.46907e+06 1.12241e+10 6.04624e+09 0
4.48626e+06 1.10955e+10 5.99993e+09 0
4.50351e+06 1.09684e+10 5.95399e+09 0
4.52083e+06 1.08427e+10 5.90838e+09 0
4.53822e+06 1.07185e+10 5.86312e+09 0
4.55568e+06 1.05957e+10 5.8182e+09 0
4.5732e+06 1.04743e+10 5.77364e+09 0
4.59079e+06 1.03543e+10 5.72941e+09 0
4.60845e+06 1.02357e+10 5.68552e+09 0
4.62617e+06 1.01184e+10 5.64198e+09 0
4.64397e+06 1.00025e+10 5.59875e+09 0
4.66183e+06 9.8879e+09 5.55587e+09 0
4.67976e+06 9.77462e+09 5.51331e+09 0
4.69776e+06 9.66264e+09 5.47107e+09 0
4.71583e+06 9.55194e+09 5.42916e+09 0
4.73397e+06 9.4425e+09 5.38757e+09 0
4.75217e+06 9.33432e+09 5.34632e+09 0
4.77045e+06 9.22738e+09 5.30536e+09 0
4.7888e+06 9.12167e+09 5.26471e+09 0
4.80722e+06 9.01716e+09 5.22438e+09 0
4.82571e+06 8.91385e+09 5.18436e+09 0
4.84427e+06 8.81173e+09 5.14465e+09 0
4.8629e+06 8.71077e+09 5.10524e+09 0
4.88161e+06 8.61098e+09 5.06612e+09 0
4.90038e+06 8.51232e+09 5.02732e+09 0
4.91923e+06 8.4148e+09 4.9888e+09 0
4.93815e+06 8.31839e+09 4.95059e+09 0
4.95715e+06 8.22309e+09 4.91265e+09 0
4.97621e+06 8.12887e+09 4.87503e+09 0
4.99535e+06 8.03574e+09 4.83768e+09 0
5.01457e+06 7.94368e+09 4.8006e+09 0
5.03385e+06 7.85266e+09 4.76384e+09 0
5.05322e+06 7.7627e+09 4.72733e+09 0
5.07265e+06 7.67376e+09 4.69112e+09 0
5.09216e+06 7.58584e+09 4.65518e+09 0
5.11175e+06 7.49893e+09 4.61951e+09 0
5.13141e+06 7.41301e+09 4.58412e+09 0
5.15115e+06 7.32808e+09 4.549e+09 0
5.17096e+06 7.24412e+09 4.51415e+09 0
5.19085e+06 7.16112e+09 4.47956e+09 0
5.21081e+06 7.07907e+09 4.44525e+09 0
5.23086e+06 6.99797e+09 4.41118e+09 0
5.25098e+06 6.91779e+09 4.37738e+09 0
5.27117e+06 6.83853e+09 4.34386e+09 0
5.29145e+06 6.76018e+09 4.31057e+09 0
5.3118e+06 6.68272e+09 4.27754e+09 0
5.33223e+06 6.60616e+09 4.24477e+09 0
5.35274e+06 6.53047e+09 4.21225e+09 0
5.37333e+06 6.45564e+09 4.17997e+09 0
5.394e+06 6.38168e+09 4.14794e+09 0
5.41474e+06 6.30856e+09 4.11617e+09 0
5.43557e+06 6.23628e+09 4.08463e+09 0
5.45648e+06 6.16483e+09 4.05332e+09 0
5.47746e+06 6.09419e+09 4.02228e+09 0
5.49853e+06 6.02437e+09 3.99145e+09 0
5.51968e+06 5.95534e+09 3.96087e+09 0
5.54091e+06 5.88711e+09 3.93052e+09 0
5.56222e+06 5.81965e+09 3.90041e+09 0
5.58362e+06 5.75297e+09 3.87051e+09 0
5.60509e+06 5.68706e+09 3.84086e+09 0
5.62665e+06 5.6219e+09 3.81143e+09 0
5.64829e+06 5.55748e+09 3.78223e+09 0
5.67002e+06 5.49381e+09 3.75324e+09 0
5.69183e+06 5.43086e+09 3.72447e+09 0
5.71372e+06 5.36863e+09 3.69594e+09 0
5.7357e+06 5.30712e+09 3.66761e+09 0
5.75776e+06 5.24631e+09 3.63951e+09 0
5.7799e+06 5.1862e+09 3.61163e+09 0
5.80214e+06 5.12677e+09 3.58394e+09 0
5.82445e+06 5.06803e+09 3.55648e+09 0
5.84685e+06 5.00996e+09 3.52923e+09 0
5.86934e+06 4.95256e+09 3.50219e+09 0
5.89192e+06 4.89581e+09 3.47534e+09 0
5.91458e+06 4.83971e+09 3.44871e+09 0
5.93733e+06 4.78426e+09 3.42228e+09 0
5.96017e+06 4.72944e+09 3.39605e+09 0
5.98309e+06 4.67525e+09 3.37003e+09 0
6.0061e+06 4.62168e+09 3.34421e+09 0
6.02921e+06 4.56872e+09 3.31857e+09 0
6.0524e+06 4.51637e+09 3.29314e+09 0
6.07567e+06 4.46462e+09 3.26791e+09 0
6.09904e+06 4.41346e+09 3.24287e+09 0
6.1225e+06 4.36289e+09 3.21801e+09 0
6.14605e+06 4.3129e+09 3.19335e+09 0
6.16969e+06 4.26348e+09 3.16888e+09 0
6.19342e+06 4.21463e+09 3.14459e+09 0
6.21724e+06 4.16633e+09 3.12049e+09 0
6.24116e+06 4.11859e+09 3.09657e+09 0
6.26516e+06 4.0714e+09 3.07284e+09 0
6.28926e+06 4.02475e+09 3.04929e+09 0
6.31345e+06 3.97863e+09 3.02592e+09 0
6.33773e+06 3.93304e+09 3.00273e+09 0
6.36211e+06 3.88797e+09 2.97971e+09 0
6.38658e+06 3.84342e+09 2.95687e+09 0
6.41115e+06 3.79938e+09 2.93421e+09 0
6.4358e+06 3.75584e+09 2.91173e+09 0
6.46056e+06 3.7128e+09 2.8894e+09 0
6.48541e+06 3.67026e+09 2.86726e+09 0
6.51035e+06 3.6282e+09 2.84528e+09 0
6.53539e+06 3.58663e+09 2.82348e+09 0
6.56053e+06 3.54553e+09 2.80183e+09 0
6.58576e+06 3.5049e+09 2.78036e+09 0
6.6111e+06 3.46474e+09 2.75904e+09 0
6.63652e+06 3.42503e+09 2.7379e+09 0
6.66205e+06 3.38579e+09 2.71691e+09 0
6.68767e+06 3.34699e+09 2.69609e+09 0
6.7134e+06 3.30863e+09 2.67541e+09 0
6.73922e+06 3.27072e+09 2.65491e+09 0
6.76514e+06 3.23324e+09 2.63456e+09 0
6.79116e+06 3.19619e+09 2.61436e+09 0
6.81728e+06 3.15956e+09 2.59432e+09 0
6.8435e+06 3.12336e+09 2.57444e+09 0
6.86982e+06 3.08757e+09 2.5547e+09 0
6.89625e+06 3.05218e+09 2.53511e+09 0
6.92277e+06 3.01721e+09 2.51568e+09 0
6.9494e+06 2.98263e+09 2.4964e+09 0
6.97613e+06 2.94845e+09 2.47726e+09 0
7.00296e+06 2.91466e+09 2.45827e+09 0
7.0299e+06 2.88126e+09 2.43942e+09 0
7.05694e+06 2.84825e+09 2.42072e+09 0
7.08408e+06 2.81561e+09 2.40217e+09 0
7.11133e+06 2.78334e+09 2.38375e+09 0
7.13868e+06 2.75144e+09 2.36547e+09 0
7.16614e+06 2.71991e+09 2.34734e+09 0
7.1937e+06 2.68874e+09 2.32934e+09 0
7.22137e+06 2.65793e+09 2.31149e+09 0
7.24914e+06 2.62747e+09 2.29377e+09 0
7.27703e+06 2.59736e+09 2.27618e+09 0
7.30502e+06 2.56759e+09 2.25873e+09 0
7.33311e+06 2.53817e+09 2.24141e+09 0
7.36132e+06 2.50908e+09 2.22423e+09 0
7.38963e+06 2.48033e+09 2.20718e+09 0
7.41806e+06 2.4519e+09 2.19025e+09 0
7.44659e+06 2.42381e+09 2.17346e+09 0
