# r z integrandT integrandL
0.123975 0.010001 0.0156907 1.52469e-05
0.131826 0.010001 0.0166672 1.72611e-05
0.140174 0.010001 0.0177024 1.95581e-05
0.14905 0.010001 0.0187993 2.2177e-05
0.158489 0.010001 0.0199611 2.51622e-05
0.168526 0.010001 0.0211912 2.85636e-05
0.179198 0.010001 0.0224929 3.24373e-05
0.190546 0.010001 0.0238695 3.6846e-05
0.202613 0.010001 0.0253244 4.18603e-05
0.215443 0.010001 0.026861 4.75583e-05
0.229087 0.010001 0.0284826 5.40272e-05
0.243594 0.010001 0.0301922 6.13633e-05
0.25902 0.010001 0.0319929 6.96728e-05
0.275423 0.010001 0.0338872 7.90722e-05
0.292864 0.010001 0.0358776 8.96887e-05
0.311411 0.010001 0.0379659 0.00010166
0.331131 0.010001 0.0401532 0.000115135
0.352101 0.010001 0.0424402 0.000130273
0.374398 0.010001 0.0448264 0.000147242
0.398107 0.010001 0.0473102 0.000166217
0.423318 0.010001 0.0498888 0.000187382
0.450125 0.010001 0.0525578 0.000210922
0.47863 0.010001 0.0553107 0.000237021
0.50894 0.010001 0.058139 0.000265859
0.54117 0.010001 0.0610318 0.000297602
0.57544 0.010001 0.063975 0.000332399
0.611881 0.010001 0.0669516 0.000370366
0.650629 0.010001 0.0699406 0.000411583
0.691831 0.010001 0.0729172 0.000456075
0.735642 0.010001 0.0758523 0.000503799
0.782228 0.010001 0.0787121 0.000554628
0.831764 0.010001 0.081458 0.000608333
0.884437 0.010001 0.0840466 0.000664566
0.940445 0.010001 0.0864296 0.000722841
1 0.010001 0.0885547 0.000782517
1.06333 0.010001 0.0903658 0.000842789
1.13066 0.010001 0.0918042 0.000902675
1.20226 0.010001 0.0928103 0.000961019
1.2784 0.010001 0.0933257 0.0010165
1.35936 0.010001 0.0932952 0.00106767
1.44544 0.010001 0.0926701 0.00111297
1.53697 0.010001 0.0914118 0.0011508
1.63431 0.010001 0.0894948 0.0011796
1.7378 0.010001 0.0869109 0.00119793
1.84785 0.010001 0.083672 0.00120458
1.96487 0.010001 0.0798126 0.00119869
2.0893 0.010001 0.0753909 0.00117981
2.2216 0.010001 0.0704886 0.00114802
2.36229 0.010001 0.065208 0.00110395
