# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = NC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = IIM
# generated_by = sigma_nuN (PHASIS/dipole) commit 1474a9b-sujo
# M_W_GeV      = 80.379
# xF3_from     = NNPDF31_nlo_as_0118
# model IIM
# gerado_por sigma_nuN (PHASIS/dipole)
# formalismo Kutak-Kwiecinski EPJ C29 (2003) 521, eqs (2),(8),(9),(12),(13)
# beam nu
# use_F3 1  pdf_set NNPDF31_nlo_as_0118
# Q2min_GeV2 1
# largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s=4]
# bCGC [Rezaeian & Schmidt, PRD 88 (2013) 074016, Tabela II, m_c=1.4]
# bCGC B_CGC 5.5  gamma_s 0.6492  N0 0.3658  x0 0.00069  lambda 0.2023  bMax 20  Nb 80
# massas_GeV  u 0.01  d 0.01  s 0.01  c 1.4
# canais uu, dd, ss, cc
# quadratura_rz  Nr 120  Nz 120  rMin 1e-08  rMax 1000  zMin 1e-11   [ln r; z log nas duas pontas]
# tabela_F  Nx 121  NQ 121  xMin 2.664472562e-15  xMax 1  Q2Min 1  Q2Max 1.968400829e+14
# integracao_sigma  nos_por_decada_Q 16  nos_por_decada_x 16
# Enu_GeV sigma_GeV_minus2 sigma_cm2
4.124626383e+10 2.108321579e-05 8.209361482e-33
4.489251258e+10 2.154735591e-05 8.390087896e-33
4.886109671e+10 2.202001125e-05 8.574129959e-33
5.318051128e+10 2.250131073e-05 8.76153787e-33
5.788177038e+10 2.299138111e-05 8.952360983e-33
6.299862978e+10 2.349036125e-05 9.146653372e-33
6.856782937e+10 2.399838234e-05 9.344466118e-33
7.462935686e+10 2.451557641e-05 9.545850628e-33
8.1226735e+10 2.50420864e-05 9.750862561e-33
8.840733402e+10 2.557804987e-05 9.959555479e-33
9.622271174e+10 2.612360366e-05 1.017198267e-32
1.047289838e+11 2.667889563e-05 1.03882017e-32
1.139872267e+11 2.724406846e-05 1.060826813e-32
1.240639159e+11 2.781926836e-05 1.083223889e-32
1.350314038e+11 2.840463901e-05 1.106016993e-32
1.469684386e+11 2.900033765e-05 1.129212247e-32
1.599607302e+11 2.960651281e-05 1.152815435e-32
1.741015652e+11 3.022331474e-05 1.176832407e-32
1.894924772e+11 3.08509046e-05 1.201269438e-32
2.062439753e+11 3.148943853e-05 1.226132608e-32
2.244763378e+11 3.213907494e-05 1.251428086e-32
2.443204762e+11 3.279997133e-05 1.277162004e-32
2.659188745e+11 3.347229904e-05 1.303341033e-32
2.894266125e+11 3.415622028e-05 1.329971489e-32
3.150124796e+11 3.485189803e-05 1.35705972e-32
3.428601864e+11 3.555950956e-05 1.384612627e-32
3.731696838e+11 3.627922362e-05 1.412636781e-32
4.061585988e+11 3.70112103e-05 1.441138805e-32
4.420637972e+11 3.775565128e-05 1.470125774e-32
4.811430839e+11 3.851272373e-05 1.499604585e-32
5.236770544e+11 3.928260666e-05 1.52958221e-32
5.699711094e+11 4.006547859e-05 1.560065599e-32
6.203576476e+11 4.086153248e-05 1.591062266e-32
6.751984523e+11 4.167095243e-05 1.622579379e-32
7.348872892e+11 4.249392284e-05 1.654624118e-32
7.998527337e+11 4.33306434e-05 1.687204259e-32
8.705612479e+11 4.418130538e-05 1.720327251e-32
9.475205303e+11 4.5046105e-05 1.754000732e-32
1.031283161e+12 4.592523552e-05 1.788232228e-32
1.122450568e+12 4.681890888e-05 1.823029992e-32
1.221677349e+12 4.772732374e-05 1.858401759e-32
1.329675967e+12 4.865068185e-05 1.894355385e-32
1.447221871e+12 4.958920066e-05 1.930899336e-32
1.575159057e+12 5.054308845e-05 1.968041724e-32
1.714406136e+12 5.151255376e-05 2.005790667e-32
1.865962923e+12 5.249782139e-05 2.044154919e-32
2.030917621e+12 5.349910768e-05 2.083142905e-32
2.21045463e+12 5.451663428e-05 2.122763254e-32
2.405863055e+12 5.555061967e-05 2.163024473e-32
2.618545958e+12 5.660130207e-05 2.20393584e-32
2.850030439e+12 5.766890668e-05 2.245506121e-32
3.10197859e+12 5.87536609e-05 2.287744173e-32
3.376199441e+12 5.985580973e-05 2.330659534e-32
3.674661941e+12 6.097558861e-05 2.374261372e-32
3.999509097e+12 6.211323703e-05 2.418559012e-32
4.353073365e+12 6.326899584e-05 2.463561833e-32
4.737893391e+12 6.444312142e-05 2.509279818e-32
5.156732245e+12 6.563586e-05 2.555722553e-32
5.612597256e+12 6.684745803e-05 2.602899636e-32
6.108761608e+12 6.807818343e-05 2.650821499e-32
6.648787838e+12 6.932829074e-05 2.699498052e-32
7.236553423e+12 7.059803672e-05 2.748939294e-32
7.876278611e+12 7.188769656e-05 2.79915594e-32
8.572556732e+12 7.319753593e-05 2.850158334e-32
9.330387173e+12 7.452782622e-05 2.901957045e-32
1.015521128e+13 7.587883603e-05 2.954562529e-32
1.105295141e+13 7.725085641e-05 3.007986122e-32
1.203005349e+13 7.864416444e-05 3.06223861e-32
1.309353327e+13 8.005903796e-05 3.117330814e-32
1.42510267e+13 8.14957781e-05 3.173274458e-32
1.551084477e+13 8.29546719e-05 3.230080719e-32
1.688203317e+13 8.443600919e-05 3.287760882e-32
1.837443725e+13 8.594009892e-05 3.346326978e-32
1.999877271e+13 8.746724071e-05 3.405790672e-32
2.176670253e+13 8.901774029e-05 3.46616387e-32
2.369092074e+13 9.059190049e-05 3.527458362e-32
2.578524353e+13 9.219004809e-05 3.589686873e-32
2.806470846e+13 9.381249524e-05 3.652861558e-32
3.054568247e+13 9.545955581e-05 3.716994638e-32
3.324597932e+13 9.713156689e-05 3.782099238e-32
3.61849876e+13 9.88288528e-05 3.848187987e-32
3.938380983e+13 0.000100551746 3.915273832e-32
4.286541408e+13 0.0001023005749 3.983369555e-32
4.665479882e+13 0.0001040756954 4.05248902e-32
5.077917243e+13 0.0001058774453 4.122645378e-32
5.526814857e+13 0.0001077061658 4.193851913e-32
6.01539588e+13 0.0001095622235 4.266122903e-32
6.547168402e+13 0.0001114459701 4.339472039e-32
7.125950634e+13 0.0001133577593 4.413913097e-32
7.755898323e+13 0.0001152979683 4.489460761e-32
8.441534596e+13 0.0001172669633 4.56612929e-32
9.187782429e+13 0.0001192651176 4.643933223e-32
1e+14 0.0001212928011 4.72288696e-32
