# Collapsar-like analytic profile with exponential cutoff
# rho(r) = rho0*(r/r0)^(-alpha)*exp[-(r-r0)/Rcut]
# columns:
# r_cm dens_gcm3 temp_MeV ye pres_dummy entr_dummy
2.07383e+06 1.12417e+11 35.2497 0.125342 3.96266e+12 0.00730375
2.0818e+06 1.11129e+11 35.1416 0.125475 3.90525e+12 0.00730935
2.08981e+06 1.09856e+11 35.0338 0.125609 3.84868e+12 0.00731496
2.09785e+06 1.08598e+11 34.9263 0.125742 3.79293e+12 0.00732058
2.10592e+06 1.07354e+11 34.8192 0.125875 3.73799e+12 0.0073262
2.11402e+06 1.06125e+11 34.7124 0.126009 3.68384e+12 0.00733182
2.12215e+06 1.04909e+11 34.6059 0.126142 3.63047e+12 0.00733745
2.13031e+06 1.03708e+11 34.4997 0.126275 3.57788e+12 0.00734308
2.1385e+06 1.0252e+11 34.3939 0.126409 3.52605e+12 0.00734872
2.14673e+06 1.01346e+11 34.2884 0.126542 3.47498e+12 0.00735436
2.15499e+06 1.00185e+11 34.1832 0.126676 3.42464e+12 0.00736001
2.16327e+06 9.90374e+10 34.0783 0.126809 3.37503e+12 0.00736566
2.1716e+06 9.79031e+10 33.9738 0.126942 3.32614e+12 0.00737131
2.17995e+06 9.67818e+10 33.8695 0.127076 3.27795e+12 0.00737697
2.18833e+06 9.56733e+10 33.7656 0.127209 3.23047e+12 0.00738263
2.19675e+06 9.45775e+10 33.662 0.127342 3.18367e+12 0.0073883
2.2052e+06 9.34943e+10 33.5588 0.127476 3.13755e+12 0.00739397
2.21368e+06 9.24234e+10 33.4558 0.127609 3.0921e+12 0.00739964
2.2222e+06 9.13649e+10 33.3532 0.127743 3.04731e+12 0.00740532
2.23074e+06 9.03184e+10 33.2509 0.127876 3.00316e+12 0.00741101
2.23932e+06 8.92839e+10 33.1488 0.128009 2.95966e+12 0.0074167
2.24794e+06 8.82613e+10 33.0471 0.128143 2.91678e+12 0.00742239
2.25658e+06 8.72504e+10 32.9458 0.128276 2.87453e+12 0.00742809
2.26526e+06 8.62511e+10 32.8447 0.128409 2.83289e+12 0.00743379
2.27397e+06 8.52632e+10 32.7439 0.128543 2.79185e+12 0.0074395
2.28272e+06 8.42866e+10 32.6435 0.128676 2.75141e+12 0.00744521
2.2915e+06 8.33213e+10 32.5433 0.12881 2.71155e+12 0.00745092
2.30031e+06 8.23669e+10 32.4435 0.128943 2.67227e+12 0.00745664
2.30916e+06 8.14235e+10 32.344 0.129076 2.63356e+12 0.00746236
2.31804e+06 8.04909e+10 32.2447 0.12921 2.59541e+12 0.00746809
2.32696e+06 7.9569e+10 32.1458 0.129343 2.55781e+12 0.00747382
2.33591e+06 7.86577e+10 32.0472 0.129476 2.52076e+12 0.00747956
2.34489e+06 7.77567e+10 31.9489 0.12961 2.48424e+12 0.0074853
2.35391e+06 7.68661e+10 31.8508 0.129743 2.44825e+12 0.00749105
2.36297e+06 7.59857e+10 31.7531 0.129877 2.41279e+12 0.0074968
2.37206e+06 7.51154e+10 31.6557 0.13001 2.37783e+12 0.00750255
2.38118e+06 7.42551e+10 31.5586 0.130143 2.34339e+12 0.00750831
2.39034e+06 7.34046e+10 31.4618 0.130277 2.30944e+12 0.00751407
2.39953e+06 7.25638e+10 31.3653 0.13041 2.27598e+12 0.00751984
2.40876e+06 7.17327e+10 31.269 0.130544 2.24301e+12 0.00752561
2.41803e+06 7.09111e+10 31.1731 0.130677 2.21052e+12 0.00753139
2.42733e+06 7.00989e+10 31.0775 0.13081 2.17849e+12 0.00753717
2.43666e+06 6.9296e+10 30.9821 0.130944 2.14694e+12 0.00754296
2.44604e+06 6.85023e+10 30.8871 0.131077 2.11583e+12 0.00754875
2.45544e+06 6.77177e+10 30.7923 0.13121 2.08518e+12 0.00755454
2.46489e+06 6.69421e+10 30.6978 0.131344 2.05498e+12 0.00756034
2.47437e+06 6.61753e+10 30.6036 0.131477 2.02521e+12 0.00756614
2.48389e+06 6.54173e+10 30.5098 0.131611 1.99587e+12 0.00757195
2.49344e+06 6.46681e+10 30.4161 0.131744 1.96695e+12 0.00757776
2.50303e+06 6.39274e+10 30.3228 0.131877 1.93846e+12 0.00758358
2.51266e+06 6.31952e+10 30.2298 0.132011 1.91038e+12 0.0075894
2.52232e+06 6.24713e+10 30.1371 0.132144 1.8827e+12 0.00759522
