# r z psiT2 psiL2
0.0912011 0.010001 0.0879998 6.3321e-05
0.0969765 0.010001 0.0778002 5.92862e-05
0.103118 0.010001 0.0687798 5.55873e-05
0.109648 0.010001 0.0608024 5.21881e-05
0.116591 0.010001 0.0537473 4.90565e-05
0.123975 0.010001 0.0475081 4.61644e-05
0.131826 0.010001 0.0419903 4.34866e-05
0.140174 0.010001 0.0371108 4.1001e-05
0.14905 0.010001 0.0327956 3.86881e-05
0.158489 0.010001 0.0289796 3.65306e-05
0.168526 0.010001 0.0256051 3.45131e-05
0.179198 0.010001 0.0226211 3.26221e-05
0.190546 0.010001 0.0199824 3.08458e-05
0.202613 0.010001 0.0176492 2.91734e-05
0.215443 0.010001 0.0155861 2.75957e-05
0.229087 0.010001 0.0137619 2.61043e-05
0.243594 0.010001 0.0121491 2.46921e-05
0.25902 0.010001 0.0107232 2.33525e-05
0.275423 0.010001 0.00946251 2.20798e-05
0.292864 0.010001 0.00834807 2.08689e-05
0.311411 0.010001 0.00736294 1.97155e-05
0.331131 0.010001 0.00649217 1.86156e-05
0.352101 0.010001 0.00572255 1.75657e-05
0.374398 0.010001 0.00504239 1.65628e-05
0.398107 0.010001 0.00444135 1.5604e-05
0.423318 0.010001 0.0039103 1.46871e-05
0.450125 0.010001 0.00344114 1.38098e-05
0.47863 0.010001 0.00302672 1.29703e-05
0.50894 0.010001 0.00266072 1.2167e-05
0.54117 0.010001 0.00233754 1.13983e-05
0.57544 0.010001 0.00205224 1.0663e-05
0.611881 0.010001 0.00180044 9.95978e-06
0.650629 0.010001 0.00157827 9.28773e-06
0.691831 0.010001 0.0013823 8.64585e-06
0.735642 0.010001 0.0012095 8.03331e-06
0.782228 0.010001 0.0010572 7.44932e-06
0.831764 0.010001 0.000923026 6.8932e-06
0.884437 0.010001 0.000804881 6.36428e-06
0.940445 0.010001 0.000700912 5.86196e-06
1 0.010001 0.000609477 5.38566e-06
1.06333 0.010001 0.000529124 4.93483e-06
1.13066 0.010001 0.000458569 4.50893e-06
1.20226 0.010001 0.000396675 4.10743e-06
1.2784 0.010001 0.000342435 3.72981e-06
1.35936 0.010001 0.000294959 3.37552e-06
1.44544 0.010001 0.000253456 3.04402e-06
1.53697 0.010001 0.000217229 2.73474e-06
1.63431 0.010001 0.000185659 2.4471e-06
1.7378 0.010001 0.000158197 2.18049e-06
1.84785 0.010001 0.000134356 1.93426e-06
1.96487 0.010001 0.000113706 1.70773e-06
2.0893 0.010001 9.58636e-05 1.50019e-06
2.2216 0.010001 8.04898e-05 1.31091e-06
2.36229 0.010001 6.72833e-05 1.13908e-06
2.51189 0.010001 5.59766e-05 9.83907e-07
2.67096 0.010001 4.63321e-05 8.44529e-07
2.8401 0.010001 3.81387e-05 7.20068e-07
3.01995 0.010001 3.12091e-05 6.09618e-07
3.21119 0.010001 2.53769e-05 5.12251e-07
3.41455 0.010001 2.04944e-05 4.27024e-07
3.63078 0.010001 1.64307e-05 3.52987e-07
3.86071 0.010001 1.307e-05 2.89188e-07
4.10519 0.010001 1.03097e-05 2.34683e-07
4.36516 0.010001 8.05953e-06 1.88544e-07
4.64159 0.010001 6.24012e-06 1.49867e-07
